,DCE,ADC,T1w,T2w,T1w Z,T2w Z,T1w Z effect,T2w Z effect
InverseVariance,0.07536771969270498,0.004120153951433548,-0.0022455200300008343,0.003950334668565644,-0.1386370710852851,0.3324875765528814,-0.23223715064106548,-0.23223715064106548
JointAverage,0.0042176239058702835,0.0015274796525212575,0.02829667831785001,0.036825264522791716,0.3862103242885175,0.007042768619562176,0.024945940296132424,0.024945940296132424
JointEnergy,-0.024975973497516547,0.06546107409277259,0.1889816001542197,0.30769421629135874,-0.007136928630763876,0.21246439307904327,0.04709345132686945,0.04709345132686945
JointEntropy,-0.0059095278073138914,-0.006759742949766884,0.4310144811178385,0.5347419015876919,0.07719450518854554,0.39030330917675504,0.5618388979160958,0.5618388979160958
Kurtosis,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0
LargeAreaEmphasis,-0.0003309747508597107,0.002879834270513694,0.044717425925179174,0.08582542486443745,0.07861857878534345,0.12352883809334968,0.0020127572058380922,0.0020127572058380922
LargeAreaHighGrayLevelEmphasis,0.008341768521520555,0.4035464458398765,0.2226384184546256,0.19785567527848327,0.5819491138427585,0.6442686148135035,0.0021260670826478536,0.0021260670826478536
LargeAreaLowGrayLevelEmphasis,-0.0020377852498513565,-0.00646468775341098,0.010642063202885426,0.05677193564779992,0.13289585854734695,0.054924729580631534,0.0517183636334237,0.0517183636334237
LargeDependenceEmphasis,0.1314515823142234,0.9258353224518456,0.6821561308434183,0.7153413378400811,0.3008000064343944,0.5151770500751499,0.28605752090627395,0.28605752090627395
LargeDependenceHighGrayLevelEmphasis,0.09780376112685049,0.15697864589043062,0.15445430902332016,0.14028789452526277,0.29428204139899894,0.1520814736382137,0.21663143973907598,0.21663143973907598
LargeDependenceLowGrayLevelEmphasis,0.0034887861957665616,-0.011868629403294204,0.2171221550347494,0.3745905826835892,0.1549392820946345,-0.025406748959087958,-0.37868885234526145,-0.37868885234526145
LeastAxisLength,1.0,1.0,1.0,0.9999999999999997,1.0,0.9999999999999997,1.0,1.0
LongRunEmphasis,0.1530886199568782,0.9085688775127702,0.41297227485646293,0.4312325143468445,0.07160545829534631,0.22529894601264955,0.022522335923461343,0.022522335923461343
LongRunHighGrayLevelEmphasis,-0.005087843133989581,0.040392276745577355,0.09167251870085899,0.105456060085673,0.964191433166756,0.8068405561639642,0.02448732369075372,0.02448732369075372
LongRunLowGrayLevelEmphasis,-0.021384026673856173,-0.020055749811535444,0.10140689559805104,0.24359163499253114,0.12082351529526018,0.006312583639820528,-0.061882925799914196,-0.061882925799914196
LowGrayLevelEmphasis,0.0297783114971637,0.007841162156479014,0.02430102203680303,0.30198217783966746,0.24120703277439978,0.040387990867713774,-0.3466661612797604,-0.3466661612797604
LowGrayLevelRunEmphasis,0.02146563518284145,-0.0030924410925921623,-0.004983454371207448,0.25355097883594063,0.20737019862411246,0.20175469032648324,-0.4021410117640635,-0.4021410117640635
LowGrayLevelZoneEmphasis,-0.02589667963644775,-0.0016236162897600719,0.05905434293705533,0.015334745685266176,0.1672659951219714,0.10667477181751052,-0.07434997942505026,-0.07434997942505026
MCC,0.8464280953198883,0.8859083619105865,0.5472981111340858,0.7341859710182216,0.493964991841936,0.7218322923698155,0.14352224400106334,0.14352224400106334
MajorAxisLength,0.9999999999999996,1.0,0.9999999999999996,0.9999999999999997,0.9999999999999996,0.9999999999999997,1.0,1.0
